name,idx
Shigella phage vB_SsoS-ISF002,1403
Shigella phage vB_SsoS_008,1404
Shigella virus 2019SD1,1405
Shigella virus Sfin-3,1406
Xanthomonas phage vB_XveM_DIBBI,1407
Enterobacteria phage ime09,1408
Citrobacter phage Michonne,1409
Synechococcus phage S-SM1,141
Citrobacter phage SH2,1410
Citrobacter phage SH1,1411
Citrobacter phage SH3,1412
Citrobacter phage SH4,1413
Citrobacter phage phiCFP-1,1414
Cronobacter phage GW1,1415
Delftia phage IME-DE1,1416
Dickeya phage Dagda,1417
Dickeya phage Katbat,1418
Dickeya phage Luksen,1419
Synechococcus phage S-SM2,142
Dickeya phage Mysterion,1420
Dickeya phage Ninurta,1421
Dickeya phage vB_DsoP_JA10,1422
Enterobacter phage E-2,1423
Enterobacter phage E-3,1424
Enterobacter phage phiEap-1,1425
Enterobacteria phage 13a,1426
Enterobacteria phage 285P,1427
Enterobacteria phage BA14,1428
Enterobacteria phage EcoDS1,1429
Synechococcus phage S-SSM5,143
Enterobacteria phage K1F,1430
Enterobacteria phage T3,1431
Enterobacteria phage T7M,1432
Enterobacteria phage vB_EcoP_IME390,1433
Erwinia phage FE44,1434
Erwinia phage vB_EamP-L1,1435
Escherichia phage 64795_ec1,1436
Escherichia phage C5,1437
Escherichia phage CICC 80001,1438
Escherichia phage ECA2,1439
Synechococcus phage S-SSM7,144
Escherichia phage EG1,1440
Escherichia phage Ebrios,1441
Escherichia phage HZ2R8,1442
Escherichia phage HZP2,1443
Escherichia phage IMM-002,1444
Escherichia phage LL2,1445
Escherichia phage N30,1446
Escherichia phage P483,1447
Escherichia phage P694,1448
Escherichia phage PE3-1,1449
Synechococcus phage S-ShM2,145
Escherichia phage SRT7,1450
Escherichia phage ST31,1451
Escherichia phage YZ1,1452
Escherichia phage ZG49,1453
Escherichia phage vB_EcoP-Ro45lw,1454
Escherichia phage vB_EcoP_F,1455
Escherichia phage vB_EcoP_GA2A,1456
Escherichia phage vB_EcoP_S523,1457
Escherichia virus Vec13,1458
Klebsiella phage 2044-307w,1459
Synechococcus phage S-T4,146
Klebsiella phage Henu1,1460
Klebsiella phage K11,1461
Klebsiella phage K5,1462
Klebsiella phage K5-2,1463
Klebsiella phage K5-4,1464
Klebsiella phage KP32,1465
Klebsiella phage Pharr,1466
Klebsiella phage SH-Kp 152410,1467
Klebsiella phage kpssk3,1468
Klebsiella phage vB_Kp1,1469
Synechococcus phage Syn19,147
Klebsiella phage vB_KpnP_BIS33,1470
Klebsiella phage vB_KpnP_IL33,1471
Klebsiella phage vB_KpnP_IME205,1472
Klebsiella phage vB_KpnP_IME321,1473
Klebsiella phage vB_KpnP_KpV289,1474
Klebsiella phage vB_KpnP_KpV763,1475
Klebsiella phage vB_KpnP_KpV766,1476
Klebsiella phage vB_KpnP_KpV767,1477
Klebsiella phage vB_KpnP_PRA33,1478
Kluyvera phage Kvp1,1479
Synechococcus phage metaG-MbCM1,148
Leclercia phage 10164-302,1480
Morganella phage MmP1,1481
Morganella phage vB_MmoP_MP2,1482
Pasteurella phage PHB01,1483
Pasteurella phage PHB02,1484
Pectobacterium phage DU_PP_II,1485
Pectobacterium phage Jarilo,1486
Pectobacterium phage PP47,1487
Pectobacterium phage PP74,1488
Pectobacterium phage PP81,1489
Synechococcus phage syn9,149
Phage NC-A,1490
Pseudomonas phage 22PfluR64PP,1491
Pseudomonas phage Henninger,1492
Pseudomonas phage PFP1,1493
Pseudomonas phage PPPL-1,1494
Pseudomonas phage Pf-10,1495
Pseudomonas phage Phi-S1,1496
Pseudomonas phage PspYZU08,1497
Pseudomonas phage UNO-SLW1,1498
Pseudomonas phage phi15,1499
Pseudomonas phage PaMx11,15
Vibrio phage henriette 12B8,150
Pseudomonas phage phiIBB-PF7A,1500
Pseudomonas phage phiPSA2,1501
Pseudomonas phage phiPsa17,1502
Pseudomonas virus KNP,1503
Pseudomonas virus Pf1 ERZ-2017,1504
Pseudomonas virus WRT,1505
Ralstonia phage DU_RP_I,1506
Ralstonia phage RPSC1,1507
Ralstonia phage phiITL-1,1508
Salmonella phage 3A_8767,1509
Acinetobacter phage AbP2,151
Salmonella phage BP12A,1510
Salmonella phage BSP161,1511
Salmonella phage phiSG-JL2,1512
Serratia phage 2050H2,1513
Serratia phage SM9-3Y,1514
Shigella phage SFPH2,1515
Shigella phage VB_Ship_A7,1516
Stenotrophomonas phage IME15,1517
Vibrio phage ICP3,1518
Vibrio phage N4,1519
Acinetobacter phage AB1,152
Vibriophage VP4,1520
Yersinia phage Berlin,1521
Yersinia phage PYPS50,1522
Yersinia phage Yep-phi,1523
Yersinia phage Yepe2,1524
Yersinia phage YpP-Y,1525
Yersinia phage YpsP-G,1526
Yersinia phage phiYe-F10,1527
Yersinia phage phiYeO3-12,1528
Yersinia phage vB_YenP_AP10,1529
Acinetobacter phage IME-AB2,153
Yersinia phage vB_YenP_AP5,1530
Pelagibacter phage HTVC019P,1531
Pelagibacter phage HTVC011P,1532
Ralstonia phage RsoP1EGY,1533
Rhizobium phage RHEph01,1534
Enterobacteria phage UAB_Phi78,1535
Citrobacter phage vB_CroP_CrRp3,1536
Enterobacteria phage vB_EcoP_ACG-C91,1537
Erwinia amylovora phage Era103,1538
Erwinia phage vB_EamP-S2,1539
Acinetobacter phage LZ35,154
Escherichia phage ECBP5,1540
Escherichia phage LL11,1541
Escherichia phage vB_EcoP_B,1542
Escherichia phage vB_EcoP_C,1543
Escherichia phage vB_EcoP_K,1544
Escherichia virus AAPEc6,1545
Escherichia virus VEc3,1546
Escherichia virus mutPK1A2,1547
Lelliottia phage phD2B,1548
Marinomonas phage CB5A,1549
Acinetobacter phage WCHABP1,155
Marinomonas phage CPP1m,1550
Pectobacterium phage PP1,1551
Pectobacterium phage PP99,1552
Proteus phage PM 116,1553
Proteus phage PM 85,1554
Proteus phage PM 93,1555
Proteus phage vB_PmiP_Pm5460,1556
Pseudomonas phage Achelous,1557
Pseudomonas phage Alpheus,1558
Pseudomonas phage Nerthus,1559
Acinetobacter phage WCHABP12,156
Pseudomonas phage Njord,1560
Pseudomonas phage uligo,1561
Salmonella phage BP12B,1562
Vibrio phage AS51,1563
Vibrio phage VEN,1564
Vibrio phage Vc1,1565
Vibrio phage Vp670,1566
Vibrio phage phi-A318,1567
Clostridium phage CDKM9,1568
Clostridium phage CDKM15,1569
Acinetobacter phage YMC-13-01-C62,157
Clostridium phage phiCD111,1570
Clostridium phage phiCD38-2,1571
Clostridium phage phiCD481-1,1572
Clostridium phage phiCD505,1573
Clostridium phage phiCD506,1574
Clostridium phage phiCDHM14,1575
Clostridium phage phiCDHM19,1576
Clostridium phage phiMMP02,1577
Clostridium phage phiMMP04,1578
Clostridium phage CPS1,1579
Acinetobacter phage YMC11/12/R2315,158
Clostridium phage CPD2,1580
Clostridium phage CPS2,1581
Clostridium phage phi24R,1582
Clostridium phage phiCP7R,1583
Clostridium phage phiCPV4,1584
Clostridium phage phiZP2,1585
Clostridium phage susfortuna,1586
Clostridium phage phiCTP1,1587
Clostridium phage phi8074-B1,1588
Clostridium phage phiCD146,1589
Acinetobacter phage phiAC-1,159
Clostridium phage phiCP26F,1590
Clostridium phage phiCP13O,1591
Clostridium phage phiCP34O,1592
Clostridium phage phiCT19406A,1593
Clostridium phage phiCTC2A,1594
Staphylococcus phage 3MRA,1595
Corynebacterium phage Juicebox,1596
Gordonia phage BetterKatz,1597
Gordonia phage Blueberry,1598
Gordonia phage CaptainKirk2,1599
Pseudomonas phage PaMx25,16
Aeromonas phage vB_AsaM-56,160
Gordonia phage CarolAnn,1600
Gordonia phage Fairfaxidum,1601
Gordonia phage Guacamole,1602
Gordonia phage Obliviate,1603
Gordonia phage Ruthy,1604
Gordonia phage UmaThurman,1605
Gordonia phage Utz,1606
Rhodococcus phage Whack,1607
Corynebacterium phage phi673,1608
Corynebacterium phage BFK20,1609
Acinetobacter phage AbKT21phiIII,161
Corynebacterium phage phi674,1610
Gordonia phage Trine,1611
Propionibacterium phage Anatole,1612
Rhodococcus phage ReqiPine5,1613
Corynebacterium phage Darwin,1614
Corynebacterium phage C3PO,1615
Corynebacterium phage P1201,1616
Corynebacterium phage Zion,1617
Gordonia phage GRU1,1618
Gordonia phage GTE5,1619
Acinetobacter phage AB3,162
Gordonia phage GTE8,1620
Mycobacterium phage Indlulamithi,1621
Corynebacterium phage Poushou,1622
Gordonia phage GMA4,1623
Gordonia phage Gibbin,1624
Gordonia phage Lambo,1625
Gordonia phage Ranch,1626
Gordonia phage Sadboi,1627
Gordonia phage Suzy,1628
Gordonia phage Terapin,1629
Acinetobacter phage Abp1,163
Gordonia phage Yikes,1630
Mycobacterium phage Fowlmouth,1631
Mycobacterium phage Gumball,1632
Mycobacterium phage Hawkeye,1633
Mycobacterium phage PBI1,1634
Mycobacterium phage PLot,1635
Mycobacterium phage Papyrus,1636
Mycobacterium phage Send513,1637
Escherichia phage slur16,1638
Edwardsiella virus pEt-SU,1639
Acinetobacter phage Fri1,164
Cronobacter phage CR5,1640
Erwinia phage Derbicus,1641
Erwinia phage Ea35-70,1642
Erwinia phage PhiEaH1,1643
Erwinia phage Wellington,1644
Erwinia phage phiEaH2,1645
Erwinia phage vB_EamM_Asesino,1646
Erwinia phage vB_EamM_Caitlin,1647
Erwinia phage vB_EamM_ChrisDB,1648
Erwinia phage vB_EamM_Deimos-Minion,1649
Acinetobacter phage IME200,165
Erwinia phage vB_EamM_Desertfox,1650
Erwinia phage vB_EamM_EarlPhillipIV,1651
Erwinia phage vB_EamM_Huxley,1652
Erwinia phage vB_EamM_Kwan,1653
Erwinia phage vB_EamM_Phobos,1654
Erwinia phage vB_EamM_RAY,1655
Erwinia phage vB_EamM_RisingSun,1656
Erwinia phage vB_EamM_Simmy50,1657
Erwinia phage vB_EamM_Special G,1658
Escherichia phage vB_EcoM_Goslar,1659
Acinetobacter phage Petty,166
Halocynthia phage JM-2012,1660
Pseudomonas phage 201phi2-1,1661
Pseudomonas phage EL,1662
Pseudomonas phage Noxifer,1663
Pseudomonas phage PA7,1664
Pseudomonas phage PhiPA3,1665
Pseudomonas phage SL2,1666
Salmonella phage SPN3US,1667
Serratia phage 2050HW,1668
Serratia phage Moabite,1669
Acinetobacter phage SH-Ab 15519,167
Vibrio phage Aphrodite1,1670
Cronobacter phage ENT47670,1671
Enterobacteria phage mEp043 c-1,1672
Enterobacteria phage mEp460,1673
Enterobacteria phage phi80,1674
Enterobacterial phage mEp213,1675
Escherichia phage slur05,1676
Salmonella phage SPN3UB,1677
Salmonella phage vB_SosS_Oslo,1678
Shigella phage EP23,1679
Acinetobacter phage WCHABP5,168
Enterobacteria phage ES18,1680
Enterobacteria phage VT2-Sakai,1681
Erwinia phage vB_EhrS_49,1682
Erwinia phage vB_EhrS_59,1683
Mannheimia phage vB_MhS_535AP2,1684
Pseudomonas phage JBD44,1685
Pseudomonas phage YMC11/07/P54_PAE_BP,1686
Pseudomonas phage phi297,1687
Salmonella phage 64795_sal3,1688
Salmonella phage IME207,1689
Acinetobacter phage phiAB1,169
Sinorhizobium phage phiLM21,1690
Stx2-converting phage 86,1691
Escherichia phage Envy,1692
Escherichia phage Gluttony,1693
Escherichia phage PA28,1694
Escherichia phage SH2026Stx1,1695
Escherichia phage YD-2008.s,1696
Pseudomonas phage phiPMW,1697
Shigella phage 75/02 Stx,1698
Shigella phage POCJ13,1699
Pseudomonas phage PaMx28,17
Acinetobacter phage phiAB6,170
Shigella phage Ss-VASD,1700
Stx converting phage vB_EcoS_P27,1701
Stx converting phage vB_EcoS_ST2-8624,1702
Stx1 converting phage AU5Stx1,1703
