contig_id,proteins
Enterococcus~phage~phiFL2A,63
Enterococcus~phage~phiFL3A,65
Enterococcus~phage~phiFL4A,55
Enterococcus~phage~phiSHEF2,68
Enterococcus~phage~phiSHEF4,63
Enterococcus~phage~phiSHEF5,69
Enterococcus~phage~vB_EfaP_Ef6.2,26
Enterococcus~phage~vB_EfaP_Ef6.3,26
Enterococcus~phage~vB_EfaP_Ef7.2,30
Enterococcus~phage~vB_EfaP_Ef7.3,27
Enterococcus~phage~vB_EfaP_Ef7.4,25
Enterococcus~phage~vB_EfaP_Efmus1,25
Enterococcus~phage~vB_EfaP_Efmus3,28
Enterococcus~phage~vB_EfaP_Efmus4,24
Enterococcus~phage~vB_EfaP_IME195,27
Enterococcus~phage~vB_EfaP_IME199,22
Enterococcus~phage~vB_EfaP_Zip,22
Enterococcus~phage~vB_EfaS_AL2,62
Enterococcus~phage~vB_EfaS_AL3,61
Enterococcus~phage~vB_EfaS_IME196,57
Enterococcus~phage~vB_EfaS_IME197,67
Enterococcus~phage~vB_EfaS_IME198,95
Enterococcus~phage~vB_Efae230P-4,25
Erwinia~amylovora~phage~Era103,53
Erwinia~phage~Derbicus,240
Erwinia~phage~ENT90,60
Erwinia~phage~Ea35-70,318
Erwinia~phage~Ea9-2,94
Erwinia~phage~EtG,45
Erwinia~phage~FE44,51
Erwinia~phage~Hena1,240
Erwinia~phage~PEp14,64
Erwinia~phage~PhiEaH1,241
Erwinia~phage~Wellington,287
Erwinia~phage~pEp_SNUABM_01,249
Erwinia~phage~phiEa104,118
Erwinia~phage~phiEa21-4,118
Erwinia~phage~phiEa2809,145
Erwinia~phage~phiEaH2,262
Erwinia~phage~phiEaP-8,78
Erwinia~phage~phiEt88,68
Erwinia~phage~vB_EamM-Bue1,175
Erwinia~phage~vB_EamM_Alexandra,345
Erwinia~phage~vB_EamM_Asesino,277
Erwinia~phage~vB_EamM_Caitlin,271
Erwinia~phage~vB_EamM_ChrisDB,277
Erwinia~phage~vB_EamM_Deimos-Minion,324
Erwinia~phage~vB_EamM_Desertfox,320
Erwinia~phage~vB_EamM_EarlPhillipIV,241
Erwinia~phage~vB_EamM_Huxley,271
Erwinia~phage~vB_EamM_Kwan,285
Erwinia~phage~vB_EamM_Phobos,247
Erwinia~phage~vB_EamM_RAY,317
Erwinia~phage~vB_EamM_RisingSun,243
Erwinia~phage~vB_EamM_Simmy50,322
Erwinia~phage~vB_EamM_Special~G,321
Erwinia~phage~vB_EamM_Y3,333
Erwinia~phage~vB_EamM_Yoloswag,333
Erwinia~phage~vB_EamP-L1,51
Erwinia~phage~vB_EamP-S2,49
Erwinia~phage~vB_EamP-S6,115
Erwinia~phage~vB_EamP_Frozen,92
Erwinia~phage~vB_EhrS_49,80
Erwinia~phage~vB_EhrS_59,80
Erysipelothrix~phage~SE-1,43
Escherichia~coli~O157~typing~phage~3,270
Escherichia~coli~O157~typing~phage~6,251
Escherichia~phage~121Q,611
Escherichia~phage~172-1,130
Escherichia~phage~186,46
Escherichia~phage~2~JES-2013,28
Escherichia~phage~4MG,271
Escherichia~phage~64795_ec1,45
Escherichia~phage~ADB-2,78
Escherichia~phage~APCEc01,272
Escherichia~phage~APCEc03,151
Escherichia~phage~ArgO145,80
Escherichia~phage~Av-05,209
Escherichia~phage~C119,75
Escherichia~phage~C130_2,59
Escherichia~phage~C5,44
Escherichia~phage~CICC~80001,49
Escherichia~phage~D108,57
Escherichia~phage~D6,118
Escherichia~phage~DTL,60
Escherichia~phage~EC1-UPM,80
Escherichia~phage~EC6,136
Escherichia~phage~ECA2,47
Escherichia~phage~ECBP1,82
Escherichia~phage~ECBP2,120
Escherichia~phage~ECBP5,62
Escherichia~phage~ECD7,262
Escherichia~phage~ECML-117,94
Escherichia~phage~ECML-134,270
Escherichia~phage~ECML-4,198
Escherichia~phage~ECP1,63
Escherichia~phage~EG1,51
Escherichia~phage~EP75,209
Escherichia~phage~ESCO13,281
Escherichia~phage~ESCO5,265
Escherichia~phage~Ebrios,53
Escherichia~phage~Eco_BIFF,76
Escherichia~phage~Envy,62
Escherichia~phage~FEC14,209
Escherichia~phage~FEC19,93
Escherichia~phage~Gluttony,61
Escherichia~phage~Gostya9,134
Escherichia~phage~HK639,76
Escherichia~phage~HK75,58
Escherichia~phage~HY01,255
Escherichia~phage~HY02,125
Escherichia~phage~HY03,269
Escherichia~phage~HZ2R8,38
Escherichia~phage~HZP2,43
Escherichia~phage~Henu8,65
Escherichia~phage~IMM-002,83
Escherichia~phage~JH2,131
Escherichia~phage~JLK-2012,79
Escherichia~phage~JMPW1,78
Escherichia~phage~JMPW2,80
Escherichia~phage~K1ind1,51
Escherichia~phage~KBNP1711,126
Escherichia~phage~LL11,55
Escherichia~phage~LL2,51
Escherichia~phage~LL5,88
Escherichia~phage~Lidtsur,55
Escherichia~phage~Lw1,273
Escherichia~phage~Lys12581Vzw,78
Escherichia~phage~MX01,266
Escherichia~phage~Minorna,57
Escherichia~phage~Murica,212
Escherichia~phage~N30,44
Escherichia~phage~OSYSP,166
Escherichia~phage~P13374,79
Escherichia~phage~P483,45
Escherichia~phage~P694,50
Escherichia~phage~PA2,84
